iter	Passed	Remaining
1140	185866	9610
1141	186031	9448
1142	186191	9285
1143	186354	9122
1144	186511	8959
1145	186666	8795
1146	186822	8632
1147	186984	8469
1148	187139	8306
1149	187301	8143
1150	187460	7980
1151	187621	7817
1152	187779	7654
1153	187951	7491
1154	188111	7329
1155	188271	7166
1156	188428	7002
1157	188592	6840
1158	188751	6677
1159	188934	6514
1160	189115	6352
1161	189283	6189
1162	189438	6026
1163	189602	5864
1164	189768	5701
1165	189989	5539
1166	190170	5377
1167	190333	5214
1168	190492	5051
1169	190651	4888
1170	190817	4725
1171	190977	4562
1172	191141	4399
1173	191299	4236
1174	191461	4073
1175	191619	3910
1176	191786	3747
1177	191953	3584
1178	192113	3421
1179	192274	3258
1180	192445	3096
1181	192610	2933
1182	192770	2770
1183	192936	2607
1184	193100	2444
1185	193267	2281
1186	193430	2118
1187	193592	1955
1188	193762	1792
1189	193982	1630
1190	194135	1467
1191	194298	1304
1192	194458	1140
1193	194619	977
1194	194786	815
1195	194945	651
1196	195110	488
1197	195269	325
1198	195435	162
1199	195594	0
